Time (step)	Area (µm²)	Centroid X (pixels)	Centroid Y (pixels)	Eccentricity	Majoraxislength (µm)	Minoraxislength (µm)
80	278596.5496	951.290215	385.874777	0.835399	1056.784786	580.855096
81	280116.2889	948.846098	385.092395	0.836332	1058.885367	580.50563
82	280688.3233	948.38515	385.014541	0.83643	1058.478699	580.124905
83	280954.9953	947.977775	384.849912	0.836574	1058.595306	579.955309
84	281135.5502	947.691158	384.831348	0.836621	1058.862061	580.02495
85	281357.7075	947.488752	384.757653	0.836677	1058.670026	579.830356
86	281717.5691	947.148649	384.665028	0.836753	1058.529719	579.630171
87	283627.9559	945.997914	385.666232	0.835923	1057.638593	580.482088
88	284861.8861	945.231175	385.777247	0.836002	1056.519133	579.740598
89	285690.1919	944.94107	386.211822	0.835832	1055.652809	579.537579
90	286333.7825	943.277184	385.871499	0.836145	1057.931409	580.283675
91	287566.4646	942.949367	386.546855	0.835729	1056.43158	580.130731
92	288541.6272	940.851689	386.209981	0.836002	1058.860486	581.024495
93	288855.7261	940.668808	386.543884	0.835605	1058.813954	581.638356
94	289151.9359	940.277223	386.387939	0.835737	1058.782538	581.409826
95	289527.1904	940.190401	386.422925	0.835711	1058.111162	581.08213
96	289528.4385	940.188865	386.422419	0.835711	1058.110611	581.081264
97	289528.4385	940.188865	386.422419	0.835711	1058.110611	581.081264
98	289552.984	940.191482	386.438246	0.835708	1058.070771	581.064886
99	289742.2754	940.077363	386.363025	0.835738	1057.814723	580.875843
100	290444.1095	939.488383	386.371074	0.835789	1057.563322	580.656762
101	290663.7707	939.456637	386.479705	0.835726	1057.231767	580.576058
102	290870.5352	939.445805	386.666265	0.835602	1056.979735	580.636488
103	291896.8688	939.453605	387.985803	0.834558	1055.865	581.697289
104	292603.2793	939.434333	388.730643	0.834037	1054.961433	582.031166
105	292658.1946	939.360231	388.714751	0.83405	1054.991746	582.026718
106	292856.2225	939.317832	388.775793	0.834021	1054.63539	581.877318
107	293135.7913	939.050648	388.777893	0.834154	1054.848684	581.782126
108	293150.3522	939.048106	388.783656	0.834152	1054.82278	581.772048
109	294406.7477	938.895941	389.712589	0.833558	1052.949745	581.683865
110	294406.7477	938.895941	389.712589	0.833558	1052.949745	581.683865
111	295658.9829	938.661531	390.503058	0.833068	1050.890264	581.321879
112	295658.9829	938.661531	390.503058	0.833068	1050.890264	581.321879
113	295999.7074	938.479303	390.619739	0.83303	1050.572567	581.206689
114	296134.9155	938.444135	390.68833	0.832984	1050.334471	581.14622
115	296207.3039	938.396673	390.670962	0.832992	1050.236368	581.080437
116	296627.0731	938.2145	390.900954	0.832837	1049.747578	581.054179
117	296663.2673	938.203077	390.918817	0.832824	1049.683724	581.039691
118	297234.4696	936.791874	390.682059	0.833124	1052.065153	581.88275
119	297254.0228	936.731489	390.666884	0.833147	1052.188925	581.915229
120	297344.3002	936.697598	390.695542	0.833125	1052.030194	581.862555
121	301690.5134	931.165261	389.293269	0.83414	1051.185758	579.783862
122	301705.0742	931.149506	389.292947	0.834138	1051.171979	579.779847
123	303031.778	930.402581	389.32108	0.834199	1049.790253	578.921159
124	303182.795	930.217462	389.293465	0.834222	1049.780017	578.878839
125	303244.7828	930.087114	389.265035	0.834249	1049.913316	578.909585
126	303736.9403	930.075175	390.019359	0.833543	1049.45232	579.774729
127	305056.1556	929.342587	389.971773	0.833513	1047.621487	578.810969
128	306489.7778	926.269233	389.123333	0.834714	1052.449775	579.566671
129	306599.6084	926.137056	389.065612	0.834824	1052.618741	579.484707
130	307273.9849	926.003477	389.464458	0.834596	1051.597859	579.286531
131	308131.4124	925.732881	389.668892	0.834439	1050.245107	578.791167
132	310054.696	922.826512	389.450345	0.834773	1053.016434	579.784414
133	310055.9441	922.826018	389.448802	0.834773	1053.015646	579.784571
134	310110.0273	922.822064	389.485919	0.834753	1052.930218	579.768706
135	310930.8446	921.67061	389.039203	0.835212	1053.250592	579.212519
136	311249.9358	921.509725	389.116117	0.835215	1053.017536	579.079772
137	311286.962	921.447205	389.106539	0.835251	1053.134616	579.086228
138	312196.3927	920.523626	389.010651	0.835425	1052.91085	578.684363
139	312545.8537	920.213859	389.311213	0.835161	1053.272481	579.306254
140	313221.0623	919.671725	389.613582	0.83502	1053.328068	579.562026
141	313760.2307	918.683107	389.342422	0.835367	1054.222659	579.499077
142	314506.9955	918.112941	389.214333	0.835405	1053.694266	579.147681
143	314931.341	917.750649	389.180183	0.835416	1053.49231	579.018122
